article_id,column1,column2,column3,column4
6715063, Civil Society- sub-national or local||| Civil Society- international/multinational/national||| National government||| Other||| Individuals or households, Institutional||| Technological/infrastructural|||Behavioural/cultural, General climate impacts||| Extreme precipitation and inland flooding|||Sea level rise||| Other1, Inequalities (Other than gender)||| Sustainable cities & communities|||Poverty||| Food security||| Work and economic growth
6715064, National government||| Private sector corporations||| Private sector SMEs||| Civil Society- sub-national or local||| Individuals or households||| Civil Society- international/multinational/national||| Local government||| Other, Institutional||| Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural, Extreme precipitation and inland flooding|||Sea level rise||| Drought||| Other1, Food security||| Marine & coastal ecosystem services||| Clean water & sanitation||| Education||| Sustainable cities & communities||| Health & wellbeing
6715066, Civil Society- sub-national or local||| Private sector corporations||| Other||| Individuals or households, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, General climate impacts||| Extreme precipitation and inland flooding||| Drought||| Other1, Terrestrial & freshwater ecosystem services
6715068, Sub-national government||| Private sector SMEs||| Private sector corporations||| National government, Ecosystem-based, General climate impacts||| Drought||| Other1, Terrestrial & freshwater ecosystem services
6715072, National government||| Sub-national government||| Civil Society- sub-national or local||| Local government, Technological/infrastructural||| Ecosystem-based, Precipitation variability||| Drought, Terrestrial & freshwater ecosystem services
6715073, National government||| Sub-national government||| Local government, Ecosystem-based||| Institutional|||Behavioural/cultural, General climate impacts, Terrestrial & freshwater ecosystem services
6715075, Individuals or households, Institutional||| Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural, General climate impacts||| Other1||| Precipitation variability,Poverty||| Food security
6715076, Individuals or households,Behavioural/cultural, Precipitation variability||| Drought, Clean water & sanitation||| Food security||| Sustainable cities & communities
6715077, Local government||| Civil Society- international/multinational/national||| Individuals or households,Behavioural/cultural, Extreme precipitation and inland flooding||| Drought||| Other1||| General climate impacts,Poverty||| Clean water & sanitation||| Consumption & production||| Food security||| Sustainable cities & communities||| Health & wellbeing||| Terrestrial & freshwater ecosystem services||| Other2
6715078, Local government||| Individuals or households||| National government||| Sub-national government, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural,Sea level rise||| Extreme precipitation and inland flooding||| Other1, Clean water & sanitation||| Health & wellbeing||| Sustainable cities & communities||| Industry/innovation/technology
6715080, Individuals or households, Technological/infrastructural|||Behavioural/cultural, Drought, Sustainable cities & communities||| Clean water & sanitation||| Other2
6715081, Local government||| Civil Society- sub-national or local||| Individuals or households, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural, Drought||| Other1, Clean water & sanitation
6715082, Individuals or households, Institutional|||Behavioural/cultural||| Technological/infrastructural, Extreme precipitation and inland flooding||| Other1, Work and economic growth||| Other2||| Health & wellbeing
6715083, Individuals or households||| Local government||| Civil Society- sub-national or local||| Private sector SMEs||| Other, Institutional||| Technological/infrastructural||| Ecosystem-based|||Behavioural/cultural, Drought||| Precipitation variability||| Other1, Clean water & sanitation|||Poverty
6715084, Individuals or households|||International or multinational governance institutions||| National government,Behavioural/cultural||| Ecosystem-based, Extreme precipitation and inland flooding|||Sea level rise||| Precipitation variability, Other2||| Sustainable cities & communities||| Food security|||Poverty
6715085, Individuals or households,Behavioural/cultural, Drought||| General climate impacts,Poverty||| Education||| Clean water & sanitation
6715087, Local government, Institutional,Sea level rise, Other2
6715088, Local government||| Individuals or households||| Civil Society- sub-national or local||| National government,Behavioural/cultural||| Institutional||| Technological/infrastructural, Drought||| Precipitation variability,Poverty||| Clean water & sanitation||| Work and economic growth||| Consumption & production||| Terrestrial & freshwater ecosystem services||| Sustainable cities & communities||| Gender equality||| Other2
6715089, Local government||| Individuals or households||| Civil Society- international/multinational/national||| Civil Society- sub-national or local, Institutional||| Technological/infrastructural|||Behavioural/cultural, Precipitation variability||| Extreme precipitation and inland flooding|||Sea level rise||| Other1, Clean water & sanitation||| Sustainable cities & communities
